"nftId","uri","image","metadata"
"craftyourworld-0021","https://craftyourworld-book-nft.s3.amazonaws.com/webp/21.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-3-4-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0021"",""fileName"":""Craftyourworld-cover-0-3-4-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeibdtjf4adao67ec63ih4g2mc7ogw2khqifcsg2xq4iz6zvqgz6g2a"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Tea Rose"",""backdrop"":""World"",""signature"":""None""}}"
"craftyourworld-0022","https://craftyourworld-book-nft.s3.amazonaws.com/webp/22.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-2-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0022"",""fileName"":""Craftyourworld-cover-0-2-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeieltihxpxeiqpj425mnppuxzwdlkxqts4ylv4i6o4zrih53rkobba"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Pale Azure"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0023","https://craftyourworld-book-nft.s3.amazonaws.com/webp/23.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-0-0-1.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0023"",""fileName"":""Craftyourworld-cover-0-0-0-1"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeifz5wpe7i2rjjlvha6poeusytdu6pwtcijcw4mpffzx24hrwj4eyy"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Aureolin"",""backdrop"":""None"",""signature"":""Know Yourself""}}"
"craftyourworld-0024","https://craftyourworld-book-nft.s3.amazonaws.com/webp/24.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-1-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0024"",""fileName"":""Craftyourworld-cover-2-1-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihtqpokfnfuebipc5uzudcwzd4dnn4v7zj2zdfcf5bxj6vmtzg4fa"",""attributes"":{""icon"":""Jet"",""bgColor"":""Melon"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0025","https://craftyourworld-book-nft.s3.amazonaws.com/webp/25.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-4-1-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0025"",""fileName"":""Craftyourworld-cover-0-4-1-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeigw27uqtdoilxokkb7gh6tfaz63slfdhkzjzb6yranwps34ifywu4"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Tea Green"",""backdrop"":""Hong Kong 1"",""signature"":""None""}}"
"craftyourworld-0026","https://craftyourworld-book-nft.s3.amazonaws.com/webp/26.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-0-5-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0026"",""fileName"":""Craftyourworld-cover-2-0-5-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeif2d5sza7emzyhpe7vdmsbkpe6yq3gcm4trj7xaxl366crdgjittu"",""attributes"":{""icon"":""Jet"",""bgColor"":""Aureolin"",""backdrop"":""Wave"",""signature"":""None""}}"
"craftyourworld-0027","https://craftyourworld-book-nft.s3.amazonaws.com/webp/27.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-3-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0027"",""fileName"":""Craftyourworld-cover-2-3-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihf63qbnbhazbrhqt3prhhh27carwksd3qgiarux34f5qtdo6qs4e"",""attributes"":{""icon"":""Jet"",""bgColor"":""Tea Rose"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0028","https://craftyourworld-book-nft.s3.amazonaws.com/webp/28.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-0-3-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0028"",""fileName"":""Craftyourworld-cover-2-0-3-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeibfbhy732mmj4bhu6b4dwr73jd53muuoki6idgx5sersddau7fki4"",""attributes"":{""icon"":""Jet"",""bgColor"":""Aureolin"",""backdrop"":""Washington DC"",""signature"":""None""}}"
"craftyourworld-0029","https://craftyourworld-book-nft.s3.amazonaws.com/webp/29.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-1-3-1.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0029"",""fileName"":""Craftyourworld-cover-2-1-3-1"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeicpj5ncifz5lryuse6yneo5nifjhx2n4awcwbudvnhzu24mjfdp7i"",""attributes"":{""icon"":""Jet"",""bgColor"":""Melon"",""backdrop"":""Washington DC"",""signature"":""Know Yourself""}}"
"craftyourworld-0030","https://craftyourworld-book-nft.s3.amazonaws.com/webp/30.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-4-4-4-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0030"",""fileName"":""Craftyourworld-cover-4-4-4-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihmxmuqjtew5t3kwy3uf3rcjwi34xcjd334ikerrwanufo6daskga"",""attributes"":{""icon"":""Rocket"",""bgColor"":""Tea Green"",""backdrop"":""World"",""signature"":""None""}}"
"craftyourworld-0031","https://craftyourworld-book-nft.s3.amazonaws.com/webp/31.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-0-5-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0031"",""fileName"":""Craftyourworld-cover-3-0-5-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeibmakvtixnmb3vxgz2r53nkkjh2r5ipcvv4swv56fscgyrqphxsra"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Aureolin"",""backdrop"":""Wave"",""signature"":""None""}}"
"craftyourworld-0032","https://craftyourworld-book-nft.s3.amazonaws.com/webp/32.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-1-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0032"",""fileName"":""Craftyourworld-cover-0-1-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeiec7n7dhq3erhl3fqdeu3vxv3gjz6mbzmqdnmhfvldgx7i6t4sqgm"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Melon"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0033","https://craftyourworld-book-nft.s3.amazonaws.com/webp/33.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-0-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0033"",""fileName"":""Craftyourworld-cover-0-0-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeidkyjtxvoo2nic2ba27g2zajow5ajzulm2llsv4bo3faixymcca6y"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Aureolin"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0034","https://craftyourworld-book-nft.s3.amazonaws.com/webp/34.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-4-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0034"",""fileName"":""Craftyourworld-cover-2-4-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeigpkv5qqj2ajqrzaz2pwz74woawbbq5bm4c2dye24r4ar3vtftway"",""attributes"":{""icon"":""Jet"",""bgColor"":""Tea Green"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0035","https://craftyourworld-book-nft.s3.amazonaws.com/webp/35.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-4-0-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0035"",""fileName"":""Craftyourworld-cover-4-0-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeidnpyi47pjkroqwo3eiswo2hyajioiejxcjht7kmqygppr5aoopgq"",""attributes"":{""icon"":""Rocket"",""bgColor"":""Aureolin"",""backdrop"":""None"",""signature"":""None""}}"
